"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:32:19.5784377 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\arialbd.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5790628 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5799033 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\arialbd.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5804826 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\arialbi.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5813963 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5819534 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\arialbi.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5824764 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5834153 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\arialbi.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5839865 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariali.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5849532 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5854792 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariali.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5860762 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5871076 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariali.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5878558 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariblk.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5889831 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5896410 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariblk.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5906467 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:32:19.5917835 AM","chrome.exe","7464","CreateFile","C:\Windows\Fonts\ariblk.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
